Row 1: ['教育部认可的84项全国大学生学科竞赛名录', '', '', '', '', '', '', '', '', '', '', '']
Row 12: ['9', '全国大学生结构设计竞赛', '通常每年4-6月', '每年一届，分校赛→省赛→全国总决赛（模型制作+加载测试+答辩）', '基于赛题设计（如桥梁、塔架、建筑结构等），材料多为竹/木，侧重力学性能与创新', '无', '本科/高职在校生，3-5人组队，1-2名指导教师，需提交结构模型及计算书', '', '', '', '', '']
Row 13: ['10', '全国大学生广告艺术大赛', '通常每年3-5月', '每年一届，分省赛→全国赛（作品提交+评审），部分类别设现场决赛', '平面、影视、动画、互动、广播、策划案、文案、UI设计等（按命题要求创作）', '企业命题专项赛（如公益广告、品牌命题等），部分赛区设工作坊或培训活动', '本科/专科在校生，1-3人组队（策划案可5人），1-2名指导教师，需学校统一报名', '', '', '', '', '']
Row 14: ['11', '全国大学生智能汽车竞赛', '通常每年3-5月', '每年一届，分赛区选拔→全国总决赛（含竞速赛、创意赛等类别），现场完成调试与竞速', '按组别设计智能车（如摄像头组、电磁组、节能组、AI视觉组等），需自主完成硬件与算法开发', '企业命题专项赛（如英飞凌、百度Apollo等合作组别）、ROS无人驾驶挑战赛等特色赛道', '本科/专科在校生，3-5人组队，1-2名指导教师，需提交技术报告并通过分赛区选拔', '', '', '', '', '']
Row 15: ['12', '全国大学生电子商务 “创新、创意及创业” 挑战赛', '通常每年3-5月', '每年一届，分校赛→省赛→全国总决赛（计划书评审+路演答辩），部分赛道增设实战赛', '电商模式创新、技术应用（如大数据/区块链）、农村电商、跨境电商、社交电商、公益电商等', '企业命题专项赛（如乡村振兴、跨境电商主题）、实战赛道（如直播电商运营挑战）', '本科/专科在校生，3-5人组队，1-2名指导教师，需提交项目计划书并通过校赛选拔', '', '', '', '', '']
Row 16: ['13', '中国大学生工程实践与创新能力大赛', '奇数年每年9-11月（校赛时间各省不一）', '两年一届，分校赛→省赛→全国总决赛（含现场任务、报告评审、答辩），部分赛道增设虚拟仿真赛', '工程基础赛道：如热能驱动车、智能物流搬运等；\n智能+赛道：如水下管道巡检、智能配送无人机等；\n虚拟仿真赛道：数字孪生、工程系统设计等', '虚拟仿真专项赛、企业命题赛（如华为昇腾AI开发挑战）', '本科/高职在校生，3-4人组队，1-2名指导教师，需提交技术方案及实物/仿真成果', '', '', '', '', '']
Row 17: ['14', '全国大学生物流设计大赛', '偶数年9-12月', '两年一届，分校赛→省赛→全国总决赛（方案设计+答辩），需提交物流系统优化或技术创新方案', '物流系统规划、供应链管理、智能仓储、运输路径优化、绿色物流技术、数字化物流平台设计等', '无', '本科/专科在校生，3-5人组队，1-2名指导教师，需提交完整设计方案及技术文档', '', '', '', '', '']
Row 18: ['15', '外研社全国大学生英语系列赛-英语演讲、英语辩论、英语写作、英语阅读', '每年3—5月', '采用校级初赛、省级复赛、总决赛三级赛制。\n校级初赛和省级复赛每年6-8月，总决赛每年10月。\n初赛复赛的比赛环节、评审方式等由各校、各地自行决定。各地应在8月31日前完成省级复赛，并完成入围总决赛的项目遴选工作。\n总决赛在北京举行，包括现场演讲、辩论、写作和阅读等环节', '赛事包括现场演讲、辩论、写作和阅读等环节。英语演讲选手需围绕指定主题进行现场演讲；英语辩论选手需就给定话题展开辩论；英语写作选手需在规定时间内完成写作任务；英语阅读选手需阅读指定文章并回答问题', '无', '全国普通高校在校本科生、研究生均可报名参赛，参赛选手需具有良好的英语基础和语言表达能力。不限制参赛选手的年龄，但需为在校学生。每位选手只能选择一个项目报名参赛，需根据自身特长和兴趣选择合适的项目。选手在报名系统中需如实填写个人信息、选择参赛项目，并提交相关材料。参赛作品需为选手本人原创，不得抄袭他人作品或提供虚假材料。', '', '', '', '', '']
Row 19: ['16', '两岸新锐设计竞赛·华灿奖', '每年4—6月', '采用校级初赛、赛区赛、总赛三级赛制。\n校级初赛每年7月，赛区赛每年9月，总决赛每年11月。\n初赛由各高校根据相应赛区赛方案负责组织实施，选拔获奖作品至赛区赛。各赛区牵头单位负责组织实施，设赛区一、二、三等奖。总赛分两个阶段：第一阶段为网络评审，参赛对象为各赛区牵头单位选拔。第二阶段为现场评审，第一阶段前50%的参赛作品进入第二阶段', '分创意赛道、定向主题赛道两个赛道。创意赛道共设元宇宙设计、视觉设计、产品设计、IP类文创开发设计4大组别。定向主题赛道：结合企业需求方向发起征集，根据参赛对象类别每组下设高校学生组和青年设计师组2个小组。', '无', '海峡两岸、香港、澳门高等学校在职青年教师、在读学生，青年设计师，以及海外华人华侨在职青年教师、在读学生、青年设计师，年龄需在45周岁以下。', '', '', '', '', '']
Row 20: ['17', '全国大学生创新创业训练计划年会展示', '每年3—9月', '从各高校上传的项目成果材料中遴选约200篇学术论文，250项创新训练项目，创业训练项目和创业实践项目，60项创业训练项目和创业实践项目', '学术论文，以学术报告的形式进行学术交流，展示大学生在创新训练项目中的研究成果。创新训练项目、创业训练项目和创业实践项目，通过展板和实物作品演示的形式进行项目交流。创业训练项目和创业实践项目，进行项目推介、宣传和交流。', '无', '全国各高校参与国家级大学生创新创业训练计划的在校学生及指导教师。', '', '', '', '', '']
Row 21: ['18', '全国大学生化工设计竞赛', '每年一月左右截止', '分赛区预赛与决赛（2025年8月1日），全国总决赛三级赛事（2025年8月15日）。预赛分七个赛区，赛区预赛评审委员会初审，遴选出优秀作品参加赛区决赛。决赛由赛区评审委员会评选获赛区奖作品，确定代表本赛区参加全国总决赛的团队。总决赛包括作品专项评审和总决赛答辩会。参赛团队口头报告和演示文档，介绍本队的设计作品并进行答辩', '化工作品设计，主题根据竞赛要求', '无', '参赛学生需以团队形式自愿报名，每支参赛队伍由5人组成，设1名队长。每位学生仅可参加一支代表队', '', '', '', '', '']
Row 22: ['19（1）', '全国大学生机器人大赛-Robomaster', '每年3月', '分联盟赛与超级对抗赛（每年5月到8月）和总决赛（每年8月）三级赛事。联盟赛分为3V3对抗赛和步兵对抗赛，参赛队伍在指定比赛场地进行战术对抗。\uf0b7超级对抗赛为7V7多兵种协同作战，入围队伍参加总决赛，进行多轮对抗赛，最终决出冠军。', '自主研发的不同种类和功能的机器人，进行战术对抗。', '无', '以高校为单位，召集包括机械、电子、控制、软件、计算机、宣传等相关专业方向的同学组成研发团队。', '', '', '', '', '']
Row 23: ['19（2）', '全国大学生机器人大赛-RoBoCon', '每年3—5月', '分赛区赛与全国总决赛（每年7月）二级赛事。各赛区组织比赛，选拔优秀队伍进入全国总决赛。\uf0b7全国总决赛在江苏省江阴市举办，各参赛队伍决出冠亚季军。', '自主研发机器人', '无', '参赛队伍需登录RoBoCon官方网站进行报名，提交队伍信息、设计方案，根据比赛主题和规则，设计并制作机器人。', '', '', '', '', '']
Row 24: ['20', '全国大学生市场调查与分析大赛', '每年10月', '分知识赛（每年11月），校赛（每年3月），企业命题赛（每年4月），省赛（每年5月），全国总决赛五级赛事（每年6月）。知识赛为个人赛，采取在线理论知识网考方式，通过的选手自行组队参加校赛。参赛队伍向全国大赛组委会提交参赛报告和相关附件可参加企业命题赛。省赛由各赛区组委会负责组织，选拔晋级全国总决赛的团队。团队于总决赛现场答辩，调研报告评审。', '采取考试与答辩形式', '无', '参赛学生需在知识赛取得60分及以上成绩', '', '', '', '', '']
Row 25: ['21', '全国大学生先进成图技术与产品信息建模创新大赛', '省赛报名时间一般在4月，校赛报名时间根据各高校安排。', '分校级选拔赛，省级预选赛，全国总决赛三级。校级选拔赛在每年3月至4月\uf0b7评出校级奖项并选拔选手参加省赛。2. 省级预选赛（5月25日）选拔优秀队伍进入全国总决赛。总决赛（2025年7月26日至7月29日）分两种形式，先进成图技术赛道进行封闭式比赛，其他赛道均为开放式比赛。', '：包括先进成图技术赛道、增材制造赛道、轻量化设计赛道、数字化创新设计赛道、BIM创新应用赛道等多个赛道的竞赛。', '无', '学习了《工程制图》相关课程的在校生，具备一定的读图、识图能力，图形表达能力，至少掌握一种三维软件建模技能', '', '', '', '', '']
Row 26: ['22', '全国三维数字化创新设计大赛', '2025年3月1日至6月30日', '分校赛，省赛，全国总决赛三级赛事。 校赛（2025年3月1日至6月30日）由各高校自行组织，选拔优秀选手参加省级选拔赛（2025年5月1日至10月31日）。各参赛队伍提交作品，由省级组委会组织评审，选拔队伍进入全国总决赛（2025年11月至12月）。总决赛\uf0b7内容包括作品展示、现场评审、颁奖典礼等环节。', '围绕大赛主题，具有原创性的设计作品', '无', '参赛对象分两组。本科组：普通本科、职业本科学生，每个参赛团队由3名学生选手和1-2名指导老师组成。职业院校组：高职、技师学院、中职、技工学校学生，每个参赛团队由2名学生选手和1-2名指导老师组成。每位选手只能加入1支参赛队，指导教师可以指导多支参赛队。参赛作品需围绕大赛指定的主题进行创作，按照大赛规定的格式提交，必须为原创。', '', '', '', '', '']
Row 27: ['23', '“西门子杯”中国智能制造挑战赛', '2025年3月20日至5月31日', '比赛前精益智造系统设计与优化方向参赛队伍需要提交方案，由指导教师审核通过。比赛分全国初赛（2025年7月），全国总决赛（2025年8月）两级赛事。初赛分两种形式：精益智造系统的设计与优化方向初赛以专家方案线上评审的方式进行，其他赛项初赛将由各个分赛区组织进行。总决赛晋级名单将于2025年8月初公布。', '精益智造系统设计与优化等智能制造方面', '无', '相关学科的在校本科生、研究生，相关专业的在校高职、高专、技师院校学生可报名参加。参赛选手以参赛队为基本单元参与竞赛过程，每支参赛队由1-3名参赛选手和1-2位指导教师组成。每位同学只能参加1支参赛队，每支参赛队只能选择1个赛项。选手需要缴费评审费（300元/人），才能选择赛项、组队。', '', '', '', '', '']
Row 28: ['24', '中国大学生服务外包创新创业大赛', '2024年12月13日至2025年3月20日', '分初赛（至2025年5月），区域赛（：2025年5月中下旬），全国总决赛（2025年8月）三个阶段。初赛采用网评方式，遴选出入围区域赛的作品。大赛分设西部、中部、东部和北部四个区域赛。各区域赛晋级团队须参与现场答辩，选出晋级全国赛决赛名单。总决赛队伍进行项目演示答辩、作品展示。', 'A类（企业命题类）、B类（创业实践类）和C类（创响无锡类）。', '无', '全国高等学校（本科类和高职高专类院校）具有正式学籍的全日制在校学生毕业不超过5年（2020年后）的大学生。参赛团队仅限选一个竞赛类别参赛，：每队队员数量上限5人，指导老师数量上限2人。', '', '', '', '', '']
Row 29: ['25', '中国大学生计算机设计大赛', '1月至3月', '初赛：由各高校组织校内选拔，推荐优秀作品参加全国赛。复赛：全国范围内的作品评审，选出进入决赛的作品。决赛:最终评审，评选出各类奖项', '产品设计：包括工业设计、家具设计、电子产品设计等。\n视觉传达设计：包括平面设计、包装设计、品牌形象设计等。\n环境设计：包括室内设计、景观设计、城市规划设计等。\n数字媒体设计：包括动画设计、游戏设计、交互设计等。\n服装与服饰设计：包括时装设计、配饰设计、纺织品设计等。', '设计论坛：邀请国内外知名设计师和学者进行学术交流。工作坊：提供实践机会，学生可以与设计师一起完成项目。\n展览：优秀作品将在米兰设计周期间展出。\n', '中国高校设计学科的在读本科生、研究生及教师。作品要求：作品必须为原创，未在其他比赛中获奖或公开发表。材料可以包含作品图片、设计说明、参赛表格等。', '', '', '', '', '']
Row 30: ['26', '中国高校计算机大赛', '3月至4月', '初赛：各高校自行组织校内选拔赛，选拔出优秀团队参加区域赛。区域赛：各区域（如华北、华东、华南等）进行区域赛，选拔出晋级全国总决赛的团队。\n全国总决赛：各区域赛的优胜团队参加全国总决赛，进行最终角逐。', '程序设计类：包括算法设计、数据结构、编程实现等。软件应用类：包括软件开发、系统设计、应用创新等。\n人工智能类：包括机器学习、深度学习、自然语言处理等。\n大数据类：包括数据分析、数据挖掘、数据可视化等。\n网络安全类：包括网络安全、信息加密、系统安全等。', '创新创业大赛：鼓励学生结合计算机技术进行创新创业项目的开发。学术论文大赛：鼓励学生撰写与计算机相关的学术论文，展示研究成果。\n技术讲座workshops：邀请行业专家进行技术分享和培训。', '全国高校在校本科生和研究生。团队组成：每支团队通常由3-5名成员组成，可以跨专业组队。每支团队需有一名指导老师，负责团队的指导和管理。', '', '', '', '', '']
Row 31: ['27', '蓝桥杯全国软件和信息技术专业人才大赛', '9月至12月', '初赛：线上或线下进行，考察编程基础与算法能力。决赛：线下集中进行，题目难度较高，涵盖算法、数据结构等。\n国际赛：部分优秀选手有机会参加国际赛，与全球选手竞争。\n', '软件开发：包括Web应用、移动应用、桌面应用等。嵌入式设计与开发：涉及嵌入式系统、物联网等。\n人工智能：包括机器学习、深度学习、自然语言处理等。\n网络安全：涉及网络攻防、数据加密等。\n其他类别：如大数据、区块链等新兴技术。', '蓝桥杯青少年编程大赛：面向中小学生，培养编程兴趣。蓝桥杯创新创业大赛：鼓励创新项目，推动技术商业化。\n蓝桥杯国际赛：为优秀选手提供国际交流机会。', '通常为在校大学生、研究生，部分赛事也面向高中专业要求：计算机、软件工程、信息技术等相关专业学生。\n部分赛事允许团队参赛，人数限制视具体赛事而定。参赛作品需为原创，不得抄袭或侵犯他人知识产权。', '', '', '', '', '']
Row 32: ['28', '米兰设计周中国高校设计学科师生优秀作品展', '1月至3月', '初赛：由各高校组织校内选拔，推荐优秀作品参加全国赛。复赛：全国范围内的作品评审，选出进入决赛的作品。\n决赛：最终评审，评选出各类奖项。', '产品设计：包括工业设计、家具设计、电子产品设计等.视觉传达设计：包括平面设计、包装设计、品牌形象设计等。\n环境设计：包括室内设计、景观设计、城市规划设计等。\n数字媒体设计：包括动画设计、游戏设计、交互设计等。\n服装与服饰设计：包括时装设计、配饰设计、纺织品设计等。', '设计论坛：邀请国内外知名设计师和学者进行学术交流。工作坊：提供实践机会，学生可以与设计师一起完成项目。\n展览：优秀作品将在米兰设计周期间展出。', '中国高校设计学科的在读本科生、研究生及教师。作品要求：作品必须为原创，未在其他比赛中获奖或公开发表。作品应包括图片、设计说明、参赛表格等。', '', '', '', '', '']
Row 33: ['29', '全国大学生地质技能竞赛', '3月至5月', '初赛：各高校自行组织选拔，推荐优秀团队参加全国赛。决赛：全国范围内的决赛通常在7月至9月举行，具体时间和地点由主办方通知。\n竞赛形式：包括理论知识考试、野外地质技能操作、地质标本鉴定、地质图件绘制等多个环节。', '地质技能操作：包括野外地质调查、岩石矿物鉴定、地质图件绘制等。地质科技创新：包括地质模型制作、地质数据分析、地质软件开发等。\n地质科普作品：包括地质科普文章、地质科普视频、地质科普展览等。', '地质知识竞赛：考察参赛者的地质理论知识。地质技能操作竞赛：考察参赛者的实际操作能力。\n地质科技创新竞赛：鼓励参赛者进行地质科技创新。\n地质科普作品竞赛：鼓励参赛者进行地质科普创作。', '全国各高校地质类及相关专业的在校本科生和研究生。团队组成：每支队伍通常由3-5名学生组成，并配备1-2名指导老师。参赛者需具备一定的地质理论知识和实践技能，并通过所在高校的选拔。', '', '', '', '', '']
Row 34: ['30', '全国大学生光电设计竞赛', '3月至5月', '初赛：提交作品计划书或设计方案，由专家评审，选出进入决赛的队伍。决赛：现场展示和答辩，评审团根据作品创新性、实用性等打分，最终确定获奖名单。', '光电系统设计：如激光应用、光纤通信等。\n光电材料与器件：如新型光电材料、光电器件设计等。\n光电信息处理：如图像处理、光学信号处理等。\n其他相关领域：如生物医学光电技术等。', '光电设计创新论坛：邀请专家分享前沿技术。\n光电设计展览：展示优秀作品，促进交流。\n企业实习与招聘：提供实习和就业机会。\n', '全国高校全日制本科生和研究生。每队3-5人，可跨专业组队，需有指导教师。作品需为原创，且未参加过其他竞赛。\n', '', '', '', '', '']
Row 35: ['31', '全国大学生集成电路创新创业大赛', '每年上半年', '初赛：参赛队伍提交作品方案或设计报告，评审团进行筛选。\n复赛：通过初赛的队伍进一步完善作品，提交详细设计或原型。\n决赛：现场展示和答辩，评审团根据作品创新性、技术难度、实用性等评分。', '集成电路设计：数字电路、模拟电路、混合信号电路等。\n集成电路应用：基于集成电路的系统设计、嵌入式开发等。\nEDA工具开发：集成电路设计自动化工具的开发与优化。\n工艺与器件：半导体工艺、器件模型等。', '技术讲座与培训：邀请行业专家进行技术分享和培训。\n企业命题赛：由企业出题，参赛队伍针对企业需求提供解决方案。\n创新创业论坛：探讨集成电路行业的前沿趋势和创新创业机会。', '全国高校在校本科生、研究生，通常以团队形式参赛。每队一般3-5人，可跨专业组队。每队需有1-2名指导老师。作品需为原创，未参加过其他竞赛或已申请专利。', '', '', '', '', '']
Row 36: ['32', '全国大学生金相技能大赛', '3月至5月', '初赛：各高校自行组织校内选拔赛，选拔出优秀选手参加全国赛。\n复赛：全国范围内的复赛，通常在7月至8月举行，选手需在规定时间内完成金相试样的制备与分析。\n决赛：复赛优胜者进入决赛，决赛通常在9月至10月举行，决赛内容包括金相试样的制备、显微组织观察与分析等。', '金相试样制备：包括试样的切割、打磨、抛光、腐蚀等步骤。\n显微组织观察与分析：使用金相显微镜观察试样的显微组织，并进行组织分析。', '金相技能培训：部分高校会组织赛前培训，帮助学生掌握金相制备与分析的基本技能。\n学术交流活动：比赛期间通常会举办学术讲座、技术交流会等活动，促进参赛学生之间的交流与学习。', '全国高校在校本科生，通常以材料科学与工程、机械工程、冶金工程等相关专业的学生为主。需通过校内选拔赛获得参赛资格。每所高校通常1-3个参赛名额。', '', '', '', '', '']
